date_collected,Plot,Species,Sex,Weight
20140109,1,DM,M,40
20140109,1,DM,F,36
20140313,1,DM,F,51
20140313,1,DM,F,44
20140313,1,DS,F,146
20140108,2,NA,NA,NA
20140108,2,DM,M,44
20140108,2,PF,F,7
20140108,2,DM,M,45
20140108,2,OT,NA,NA
20140108,2,DS,M,NA
20140218,2,NA,M,NA
20140218,2,PF,F,7
20140218,2,DM,M,52
20140311,3,PF,M,8
20140408,3,NA,F,NA
20140506,3,NA,NA,NA
20140518,3,NA,F,182
20140609,3,OT,F,29
20140708,3,NA,F,115
20140708,3,NA,M,190
20140108,4,DM,F,37
20140108,4,DM,M,NA
20140108,4,DM,F,48
20140108,4,DO,M,52
20140108,4,OL,M,35
20130716,2,DM,F,NA
20130716,7,DM,M,33
20130716,3,DM,M,NA
20130716,1,DM,M,NA
20130718,3,DM,M,40
20130718,7,DM,M,48
20130718,4,DM,F,29
20130718,6,DM,F,37
20130919,8,DO,F,52
20131017,3,DO,F,33
20131017,3,DO,F,50
20131210,9,DO,F,40
20131210,1,DO,M,45
20131211,8,DO,F,41
20131112,9,DS,F,117
20131113,11,DS,F,126
20131113,17,DS,M,NA
20131113,14,DS,F,NA
20131113,11,DS,F,122
20131113,4,DS,F,107
20131113,4,DS,F,115
